soc_id	var_id	code	title	category	pref_name_for_society	Lat	Long	region
SCCS134	SCCS3	1.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Yurok	41.5	-124.0	North America
SCCS134	SCCS588		Community-wide Exclusively Female Work Groups	Gender	Yurok	41.5	-124.0	North America
SCCS134	SCCS64	3.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Yurok	41.5	-124.0	North America
SCCS134	SCCS69	3.0	Marital Residence	Settlement, Community	Yurok	41.5	-124.0	North America
SCCS134	SCCS826	27.0	Average Female Contribution to Subsistence	Gender, Data Quality	Yurok	41.5	-124.0	North America
SCCS135	SCCS3	1.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Eastern Pomo	39.0	-123.0	North America
SCCS135	SCCS588	1.0	Community-wide Exclusively Female Work Groups	Gender	Eastern Pomo	39.0	-123.0	North America
SCCS135	SCCS64	3.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Eastern Pomo	39.0	-123.0	North America
SCCS135	SCCS69	4.0	Marital Residence	Settlement, Community	Eastern Pomo	39.0	-123.0	North America
SCCS135	SCCS826	36.0	Average Female Contribution to Subsistence	Gender, Data Quality	Eastern Pomo	39.0	-123.0	North America
SCCS136	SCCS3	1.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Southern Valley Yokuts	35.0	-119.5	North America
SCCS136	SCCS588		Community-wide Exclusively Female Work Groups	Gender	Southern Valley Yokuts	35.0	-119.5	North America
SCCS136	SCCS64	4.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Southern Valley Yokuts	35.0	-119.5	North America
SCCS136	SCCS69	3.0	Marital Residence	Settlement, Community	Southern Valley Yokuts	35.0	-119.5	North America
SCCS136	SCCS826	21.0	Average Female Contribution to Subsistence	Gender, Data Quality	Southern Valley Yokuts	35.0	-119.5	North America
SCCS137	SCCS3	1.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Wadadokado	43.5	-119.0	North America
SCCS137	SCCS588		Community-wide Exclusively Female Work Groups	Gender	Wadadokado	43.5	-119.0	North America
SCCS137	SCCS64	1.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Wadadokado	43.5	-119.0	North America
SCCS137	SCCS69	4.0	Marital Residence	Settlement, Community	Wadadokado	43.5	-119.0	North America
SCCS137	SCCS826	40.0	Average Female Contribution to Subsistence	Gender, Data Quality	Wadadokado	43.5	-119.0	North America
SCCS138	SCCS3	1.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Klamath	42.63	-121.67	North America
SCCS138	SCCS588		Community-wide Exclusively Female Work Groups	Gender	Klamath	42.63	-121.67	North America
SCCS138	SCCS64	2.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Klamath	42.63	-121.67	North America
SCCS138	SCCS69	3.0	Marital Residence	Settlement, Community	Klamath	42.63	-121.67	North America
SCCS138	SCCS826	44.0	Average Female Contribution to Subsistence	Gender, Data Quality	Klamath	42.63	-121.67	North America
SCCS139	SCCS3	2.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Kutenai	49.0	-116.67	North America
SCCS139	SCCS588	2.0	Community-wide Exclusively Female Work Groups	Gender	Kutenai	49.0	-116.67	North America
SCCS139	SCCS64	1.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Kutenai	49.0	-116.67	North America
SCCS139	SCCS69	1.0	Marital Residence	Settlement, Community	Kutenai	49.0	-116.67	North America
SCCS139	SCCS826	26.0	Average Female Contribution to Subsistence	Gender, Data Quality	Kutenai	49.0	-116.67	North America
SCCS14	SCCS3	6.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Nkundo	-0.75	19.17	Africa
SCCS14	SCCS588		Community-wide Exclusively Female Work Groups	Gender	Nkundo	-0.75	19.17	Africa
SCCS14	SCCS64	3.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Nkundo	-0.75	19.17	Africa
SCCS14	SCCS69	3.0	Marital Residence	Settlement, Community	Nkundo	-0.75	19.17	Africa
SCCS14	SCCS826	78.0	Average Female Contribution to Subsistence	Gender, Data Quality	Nkundo	-0.75	19.17	Africa
SCCS140	SCCS3	1.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Gros Ventre	48.0	-108.0	North America
SCCS140	SCCS588		Community-wide Exclusively Female Work Groups	Gender	Gros Ventre	48.0	-108.0	North America
