soc_id	pref_name_for_society	Lat	Long	region	Agriculture - Contribution to Local Food Supply	Average Female Contribution to Subsistence	Community-wide Exclusively Female Work Groups	Marital Residence	Population Density (from Murdock and Wilson Data)
SCCS127	Northern Saulteaux	52.0	-95.5	North America	3.0	10.0	1.0	3.0	1.0
SCCS128	DeneTha	62.0	-122.0	North America	3.0	10.0		3.0	2.0
SCCS129	Kaska	60.0	-131.0	North America	1.0	24.0		1.0	1.0
SCCS13	Mbuti	1.5	28.33	Africa	1.0	44.0	1.0	3.0	2.0
SCCS130	Eyak	60.5	-145.0	North America	1.0	8.0		2.0	1.0
SCCS131	Haida	54.0	-132.5	North America	2.0	33.0	1.0	2.0	2.0
SCCS132	Nuxalk	52.33	-126.5	North America	1.0	32.0		3.0	3.0
SCCS133	Twana	47.43	-123.25	North America	1.0	32.0	2.0	3.0	5.0
SCCS134	Yurok	41.5	-124.0	North America	1.0	27.0		3.0	3.0
SCCS135	Eastern Pomo	39.0	-123.0	North America	1.0	36.0	1.0	4.0	3.0
SCCS136	Southern Valley Yokuts	35.0	-119.5	North America	1.0	21.0		3.0	4.0
SCCS137	Wadadokado	43.5	-119.0	North America	1.0	40.0		4.0	1.0
SCCS138	Klamath	42.63	-121.67	North America	1.0	44.0		3.0	2.0
SCCS139	Kutenai	49.0	-116.67	North America	2.0	26.0	2.0	1.0	1.0
SCCS14	Nkundo	-0.75	19.17	Africa	6.0	78.0		3.0	3.0
SCCS140	Gros Ventre	48.0	-108.0	North America	1.0	26.0		3.0	1.0
SCCS141	Hidatsa	47.0	-101.0	North America	6.0	79.0	1.0	1.0	1.0
SCCS142	Pawnee	42.0	-100.0	North America	5.0	42.0		1.0	2.0
SCCS143	Omaha	41.43	-96.5	North America	4.0	34.0	1.0	4.0	3.0
SCCS144	Huron	44.5	-79.0	North America	5.0	46.0		1.0	5.0
SCCS145	Muscogee	32.93	-86.0	North America	5.0	33.0	1.0	1.0	3.0
SCCS146	Natchez	31.5	-91.42	North America	5.0	24.0		3.0	4.0
SCCS147	Comanche	34.0	-101.5	North America	1.0	16.0	2.0	3.0	1.0
SCCS148	Chiricahua	32.0	-109.5	North America	3.0	55.0		1.0	1.0
SCCS149	Zuni	35.67	-108.75	North America	6.0	21.0	1.0	1.0	3.0
SCCS15	Banen	4.67	10.8	Africa	6.0	70.0	2.0	3.0	4.0
SCCS150	Havasupai	35.83	-112.17	North America	6.0	33.0		3.0	1.0
SCCS151	Tohono O'odham	32.0	-112.0	North America	5.0	38.0	2.0	3.0	5.0
SCCS152	Huichol	22.0	-105.0	North America	5.0	31.0		4.0	3.0
